timestamp,t_sec,gps_alt,baro_alt,baro_alt_amsl,altitude_m,airspeed,gps_speed,gps_course,roll,pitch,yaw,load,rpm,egt_c,cht_c,oil_temp_c,oil_pressure_bar,fuel_flow_lph,vibration,battery_voltage_v,battery_current_a,battery_soc_pct,fault_type,fault_severity,rul_frac,run_id,source_file,ambient_offset_c,archetype,near_miss
1780420000.0,0.0,580.0,0.0,579.88,0.0,0.021203938490749356,0.020611162505273232,355.94135053004914,0.08840574195506556,1.2399490082089006,355.94135053004914,0.34189176971331214,3229.6053787368746,744.6062799575753,66.28440073944141,51.602354275693244,2.767923291480363,10.645921874149913,0.9710168862734021,12.449,2.236,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420000.25,0.25,580.0,0.0,579.88,0.0,0.006186851532322549,0.006479561231256721,359.3797062504131,-1.121299206888699,1.031332287296359,359.3797062504131,0.3434376343157815,3127.986484284175,790.7036394493763,106.3433029065973,47.30495254562707,2.8181895033819147,11.613810913488605,1.0075172863353306,12.451,2.146,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420000.5,0.5,580.0,0.0,579.88,0.0,0.026306817283118747,0.026663759871461253,1.932911657588132,0.34512033607552856,2.090120278968523,1.932911657588132,0.34591466543205257,3444.097705765686,724.6411383230375,68.59174540486012,46.49368623385079,2.735928712780119,9.923330343672264,0.9701059501013227,12.533,2.085,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420000.75,0.75,580.0,0.0,579.88,0.0,0.04878531566170057,0.050131789942439074,356.95512192579406,-0.5528684782826446,1.118692136141227,356.95512192579406,0.34905314308619984,3415.963926679951,739.3984512236754,63.36038991508025,49.201015944312395,2.5097563203702347,3.2741009444889064,1.0861671701986704,12.498,2.098,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420001.0,1.0,580.0,0.0,579.88,0.0,0.02424858522403062,0.024397394267160113,3.0350974911340174,-0.3230725761227737,1.6747621292714865,3.0350974911340174,0.3469703350284969,3345.5273399229245,816.4561338767137,80.94904240743644,42.57094457704762,2.522294624448078,6.314363089614695,0.9959218019757943,12.563,2.148,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420001.25,1.25,583.3844759441619,3.3844759441618715,583.2644759441619,0.0,0.08982551047963233,0.09008703157071335,350.23831469537254,-0.09290621379506236,1.8272674114882992,350.23831469537254,0.34430190240761094,2867.5000022840386,740.6630752363941,69.69909496483774,55.95034685815087,2.7524849679660783,5.418875685614044,0.8166717256870766,12.595,2.025,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420001.5,1.5,581.4354986291593,1.4354986291592142,581.3154986291593,0.0,0.1172131180022143,0.11721998801602702,357.85712538334167,0.7642848722314015,2.0667505739758596,357.85712538334167,0.34020298768397245,2899.694793085277,721.5429746295622,67.51988148021277,67.97433282180809,2.970451318011311,9.661331860852552,0.7273983301521403,12.597,2.108,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420001.75,1.75,580.0,0.0,579.88,0.0,0.12940155244174203,0.1336933558808169,7.48080044451002,0.15675663807899765,1.8475476513656932,7.48080044451002,0.34147526338057876,2859.4862030879003,779.3050375710137,94.3713412910435,29.153074479232735,2.5609672445846647,8.047021437152278,0.9179894846645488,12.491,2.086,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420002.0,2.0,580.4439585157005,0.4439585157004807,580.3239585157005,0.0,0.18162511256895802,0.18022910454262844,8.156843380269201,0.41687914329536063,1.6340907150595037,8.156843380269201,0.34456386334706157,3507.120913547158,768.9007609371982,96.89598934923478,59.097528027642056,2.7190433578620663,6.971529888207498,0.8181968156708963,12.557,2.053,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420002.25,2.25,580.5656030342969,0.5656030342969343,580.4456030342969,0.0,0.23577401921025765,0.23886508632684986,0.3708300657235027,-0.1987550530006979,1.528271568500768,0.3708300657235027,0.3428745999296684,2839.064960924693,735.2656757309663,55.040234432359966,43.89175914263902,2.6830986302047504,8.445508356511045,0.9908395489829611,12.511,2.272,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420002.5,2.5,580.0,0.0,579.88,0.0,0.17498879664658368,0.16793553746824202,357.662676820695,0.5649837518082188,1.9023642889732675,357.662676820695,0.34571932774523684,3154.4948815330235,793.5312113000557,72.25657665781564,56.69520401413865,3.096193796803198,7.001700095180162,0.7798572655011583,12.519,1.906,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420002.75,2.75,581.1190379864299,1.119037986429893,580.9990379864299,0.0,0.22935927316829696,0.23906726218900595,359.5631637728197,-0.4363857003922863,1.971357259593489,359.5631637728197,0.34684669449571376,3246.0626384209695,775.6120765263953,80.46245295187866,36.988480553742946,3.25910735602657,8.168739885906641,0.9713536952612238,12.404,2.137,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420003.0,3.0,581.1725794838296,1.1725794838295749,581.0525794838296,0.0,0.16766297132007424,0.1656337986718811,0.9236273778716613,0.4401822338217966,1.6099361096570763,0.9236273778716613,0.3469056665481261,3881.0471952025982,752.7305245284208,109.28303319391489,44.69634535247004,2.8232720432090885,7.079896274596651,0.8635958325149915,12.493,2.091,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420003.25,3.25,580.0,0.0,579.88,0.0,0.22040886581384872,0.22226421462601273,0.10567562414356353,-0.45630760648060514,1.4288436945823333,0.10567562414356353,0.34595104806104926,2680.7893531858817,788.0670559348441,69.59918834955727,48.79833439003299,2.522176763072482,6.483487973992098,1.1220321046434831,12.399,2.061,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420003.5,3.5,580.0,0.0,579.88,0.0,0.2696679410840522,0.26748969600682565,357.02147718451397,0.0721949959207212,1.102806386671844,357.02147718451397,0.34296124946004614,3339.684768808301,761.522465610186,48.62534760284466,39.693520170557946,2.7221328434129717,9.276811328563113,0.9656479314750974,12.467,2.119,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420003.75,3.75,580.0,0.0,579.88,0.0,0.22866425983050978,0.22210512414340672,1.7019454878369344,-2.2930378942403893,2.360389553757609,1.7019454878369344,0.34470053973514886,3004.4343068667517,720.4761985433128,86.0947416043131,46.868335235122025,2.978895888872214,8.169610246519774,0.8877023300531601,12.486,2.293,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420004.0,4.0,580.7469817271115,0.7469817271114205,580.6269817271115,0.0,0.26844098729347654,0.27282701008928717,357.07284894438504,0.43655049682411573,2.015129364374552,357.07284894438504,0.3476221345470586,2954.4190861142556,764.937796339025,83.92164623033055,33.393870862178645,1.9686184205344275,3.9443801887215804,0.9134601209032445,12.486,2.105,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420004.25,4.25,580.8627782272617,0.8627782272617935,580.7427782272617,0.0,0.2325656643419657,0.22737201313470648,3.673248560131766,1.8331381619948366,1.1643979605806032,3.673248560131766,0.3476890052721189,3245.0192988325743,718.6601603585926,53.32391421313473,55.34484062535949,3.1571022599376994,7.962435646330545,1.0121903369896628,12.582,2.073,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
1780420004.5,4.5,580.8965166539354,0.8965166539353755,580.7765166539353,0.0,0.1989261181452283,0.19192578442640398,355.61296166468924,0.012860089342092262,2.2235063470198275,355.61296166468924,0.34843128773797943,3091.840459415507,718.5770612543477,68.12629382530416,51.02435938453247,3.3188481686897573,10.295473485820882,1.002718822783489,12.527,2.215,100.0,healthy,0.0,1.0,scenario_endurance_mission,scenario_endurance_mission.csv,0,endurance_mission,0
